id;number_of_check_ins
2020_1_1_0;3.1
2020_1_1_1;6.6
2020_1_1_2;7.7
2020_1_1_3;6.7
2020_1_1_4;6.6
2020_1_1_5;8.4
2020_1_1_6;9.5
2020_1_1_7;15.8
2020_1_1_8;17.6
2020_1_1_9;24.5
2020_1_1_10;33.5
2020_1_1_11;50
2020_1_1_12;71.4
2020_1_1_13;94.8
2020_1_1_14;105.3
2020_1_1_15;107.3
2020_1_1_16;101.7
2020_1_1_17;86.2
2020_1_1_18;69.5
2020_1_1_19;63
2020_1_1_20;56.1
2020_1_1_21;46.4
2020_1_1_22;36.7
2020_1_1_23;24.8
2020_1_2_0;8.4
2020_1_2_1;1
2020_1_2_2;0.4
2020_1_2_3;0.7
2020_1_2_4;1.8
2020_1_2_5;15.3
2020_1_2_6;70.1
2020_1_2_7;152.79999999999998
2020_1_2_8;182.6
2020_1_2_9;130.6
2020_1_2_10;122.9
2020_1_2_11;144.4
2020_1_2_12;167.4
2020_1_2_13;182.3
2020_1_2_14;189.9
2020_1_2_15;210.8
2020_1_2_16;256.5
2020_1_2_17;292.7
2020_1_2_18;178.2
2020_1_2_19;110.3
2020_1_2_20;89.7
2020_1_2_21;83.5
2020_1_2_22;64.5
2020_1_2_23;46.1
2020_1_3_0;17.6
2020_1_3_1;2
2020_1_3_2;0.7
2020_1_3_3;1.1
2020_1_3_4;2.4
2020_1_3_5;15.2
2020_1_3_6;65.5
2020_1_3_7;142.1
2020_1_3_8;181.2
2020_1_3_9;143
2020_1_3_10;133.39999999999998
2020_1_3_11;157.79999999999998
2020_1_3_12;188.3
2020_1_3_13;196.3
2020_1_3_14;207.7
2020_1_3_15;228.5
2020_1_3_16;263.7
2020_1_3_17;289.6
2020_1_3_18;198.7
2020_1_3_19;128.8
2020_1_3_20;102.3
2020_1_3_21;92
2020_1_3_22;81.19999999999999
2020_1_3_23;66.5
2020_1_4_0;31.6
2020_1_4_1;5.9
2020_1_4_2;2.6
2020_1_4_3;2.2
2020_1_4_4;2.8
2020_1_4_5;5.1000000000000005
2020_1_4_6;12.7
2020_1_4_7;28.3
2020_1_4_8;54.6
2020_1_4_9;81.4
2020_1_4_10;104.2
2020_1_4_11;133.1
2020_1_4_12;157.5
2020_1_4_13;181.3
2020_1_4_14;183.5
2020_1_4_15;184.1
2020_1_4_16;180.5
2020_1_4_17;166.6
2020_1_4_18;128.20000000000002
2020_1_4_19;101.7
2020_1_4_20;85.8
2020_1_4_21;73.80000000000001
2020_1_4_22;71
2020_1_4_23;62.4
2020_1_5_0;33.7
2020_1_5_1;7
2020_1_5_2;3.3
2020_1_5_3;3.2
2020_1_5_4;3.5
2020_1_5_5;4.3
2020_1_5_6;4.7
2020_1_5_7;13.2
2020_1_5_8;27.3
2020_1_5_9;49.4
2020_1_5_10;67
2020_1_5_11;89.80000000000001
2020_1_5_12;111.5
2020_1_5_13;130.39999999999998
2020_1_5_14;135.2
2020_1_5_15;135.2
2020_1_5_16;135.6
2020_1_5_17;127.5
2020_1_5_18;100.1
2020_1_5_19;85.4
2020_1_5_20;73.7
2020_1_5_21;60.900000000000006
2020_1_5_22;45.3
2020_1_5_23;26.1
2020_1_6_0;7.9
2020_1_6_1;0.9
2020_1_6_2;0.5
2020_1_6_3;0.7
2020_1_6_4;2
2020_1_6_5;22.9
2020_1_6_6;142.7
2020_1_6_7;413.8
2020_1_6_8;479
2020_1_6_9;286.2
2020_1_6_10;208.4
2020_1_6_11;207.2
2020_1_6_12;241.7
2020_1_6_13;236.7
2020_1_6_14;280.2
2020_1_6_15;357.4
2020_1_6_16;438.7
2020_1_6_17;475.8
2020_1_6_18;238.7
2020_1_6_19;112.7
2020_1_6_20;80.9
2020_1_6_21;70.1
2020_1_6_22;54.2
2020_1_6_23;31.3
2020_1_7_0;9.6
2020_1_7_1;1
2020_1_7_2;0.4
2020_1_7_3;0.7
2020_1_7_4;2.1
2020_1_7_5;22.8
2020_1_7_6;148
2020_1_7_7;485.7000000000001
2020_1_7_8;542.6
2020_1_7_9;287.6
2020_1_7_10;205.5
2020_1_7_11;205.5
2020_1_7_12;256.90000000000003
2020_1_7_13;260.2
2020_1_7_14;315.2
2020_1_7_15;382.5
2020_1_7_16;446.6
2020_1_7_17;485.5
2020_1_7_18;252.6
2020_1_7_19;118
2020_1_7_20;83.4
2020_1_7_21;75.1
2020_1_7_22;58.9
2020_1_7_23;35.1
2020_1_8_0;10.3
2020_1_8_1;1.1
2020_1_8_2;0.5
2020_1_8_3;0.7
2020_1_8_4;2
2020_1_8_5;20.8
2020_1_8_6;132.1
2020_1_8_7;447.7
2020_1_8_8;506.1
2020_1_8_9;281.2
2020_1_8_10;204
2020_1_8_11;209.4
2020_1_8_12;270.8
2020_1_8_13;260.5
2020_1_8_14;299.1
2020_1_8_15;367.5
2020_1_8_16;430.9
2020_1_8_17;446.4
2020_1_8_18;243.4
2020_1_8_19;122.1
2020_1_8_20;88.8
2020_1_8_21;81.9
2020_1_8_22;67.2
2020_1_8_23;37.900000000000006
2020_1_9_0;11.7
2020_1_9_1;1.3
2020_1_9_2;0.5
2020_1_9_3;0.7
2020_1_9_4;1.8
2020_1_9_5;21.9
2020_1_9_6;142.9
2020_1_9_7;482.5
2020_1_9_8;563.2
2020_1_9_9;299.9
2020_1_9_10;214.2
2020_1_9_11;211.2
2020_1_9_12;264.7
2020_1_9_13;266
2020_1_9_14;319.7
2020_1_9_15;393.8
2020_1_9_16;460.3
2020_1_9_17;491.3
2020_1_9_18;274.8
2020_1_9_19;147.10000000000002
2020_1_9_20;104.4
2020_1_9_21;100.8
2020_1_9_22;80.8
2020_1_9_23;49.9
2020_1_10_0;16.7
2020_1_10_1;1.8
2020_1_10_2;0.8
2020_1_10_3;1.1
2020_1_10_4;2.5
2020_1_10_5;19.1
2020_1_10_6;112.8
2020_1_10_7;398.7
2020_1_10_8;470
2020_1_10_9;267.6
2020_1_10_10;204.1
2020_1_10_11;216.7
2020_1_10_12;280.8
2020_1_10_13;282.5
2020_1_10_14;332.9
2020_1_10_15;381.2
2020_1_10_16;400.7
2020_1_10_17;409.8
2020_1_10_18;263
2020_1_10_19;156.70000000000002
2020_1_10_20;115.8
2020_1_10_21;103.2
2020_1_10_22;97.5
2020_1_10_23;82.9
2020_1_11_0;41.5
2020_1_11_1;8.6
2020_1_11_2;3.7
2020_1_11_3;3.1
2020_1_11_4;3.6
2020_1_11_5;5.6
2020_1_11_6;14
2020_1_11_7;32.4
2020_1_11_8;64.9
2020_1_11_9;92.5
2020_1_11_10;112.8
2020_1_11_11;140.4
2020_1_11_12;165.1
2020_1_11_13;188
2020_1_11_14;189.3
2020_1_11_15;190.2
2020_1_11_16;192.7
2020_1_11_17;184.3
2020_1_11_18;141.9
2020_1_11_19;109.2
2020_1_11_20;89.39999999999999
2020_1_11_21;79
2020_1_11_22;81.8
2020_1_11_23;75.2
2020_1_12_0;40.5
2020_1_12_1;9
2020_1_12_2;4.1000000000000005
