userstopcode;userstopareacode;stopname
53001012;rtdcs;Rotterdam, Rotterdam Centraal
53001020;rtdpom;Rotterdam, Pompenburg
53001060;rtdbkd;Rotterdam, Beukelsdijk
53001110;rtdsbl;Rotterdam, Station Blaak
53007087;Z0019R;Zonegrens 5300/5319
53140280;rtdrnh;Rotterdam, Rijnhaven
53140300;rtdmah;Rotterdam, Maashaven
53140340;rtdsli;Rotterdam, Slinge
53140360;rtdika;Rotterdam, Ikazia Ziekenhuis
53147040;Z0014R;Zonegrens 5300/5314
53190010;rtdmpl;Rotterdam, Marconiplein
53190060;sdmkoe;Schiedam, Koemarkt
53190070;sdmost;Schiedam, Oranjestraat
53190240;sdmbbs;Schiedam, Lorentzlaan
53190260;rtdfra;Rotterdam, Franselaan
53191010;sdmnsc;Schiedam, Station Schiedam Centrum
53191020;sdmnsc;Schiedam, Station Schiedam Centrum
53191030;sdmdel;Schiedam, Delflandseweg
53191050;sdmbro;Schiedam, Broersvest
53191110;sdmwar;Schiedam, Warande
53191130;sdmslp;Schiedam, Sint Liduinaplein
53191170;sdmrub;Schiedam, Rubensplein
53191200;sdmvhl;Schiedam, Van Haarenlaan
53191210;sdmvla;Schiedam, Vlaardingerdijk
53191250;sdmvij;Schiedam, Vijfsluizen
53197038;Z1929R;Zonegrens 5319/5329
53199008;;NPIVU 9008
53290010;vdgsto;Vlaardingen, Station Oost
53290030;vdgvcp;Vlaardingen, Verploegh Chassplein
53290050;vdgsgz;Vlaardingen, Stadsgehoorzaal
53290070;vdgmlk;Vlaardingen, Mr. L.A. Kesperweg
53290080;vdglvv;Vlaardingen, Liesveldviaduct
53290210;vdgbor;Vlaardingen, Vondelstraat
53290230;vdgbil;Vlaardingen, Billitonlaan
53290250;vdgbts;Vlaardingen, Blois van Treslongstraat
53290260;vdgpdg;Vlaardingen, Philips de Goedestraat
53290270;vdgddd;Vlaardingen, Dirk de Derdelaan
53291050;vdgera;Vlaardingen, Erasmusplein
53291080;vdgmss;Vlaardingen, Wiardi Beckmansingel
53297037;Z1929R;Zonegrens 5319/5329
53397035;Z2939R;Zonegrens 5329/5339
53490090;mssuiv;Maassluis, Uiverlaan
53490100;mssuiv;Maassluis, Uiverlaan
53490110;mssmzl;Maassluis, Mozartlaan
53490120;mssmzl;Maassluis, Mozartlaan
53490130;mssrzl;Maassluis, Rozenlaan
53490140;mssrzl;Maassluis, Rozenlaan
53490150;msskbs;Maassluis, Korte Boonestraat
53490160;msskbs;Maassluis, Korte Boonestraat
53490170;mssmbl;Maassluis, Mgr. W.M. Bekkerslaan
53490180;mssmbl;Maassluis, Mgr. W.M. Bekkerslaan
53490190;mssmdl;Maassluis, Mesdaglaan
53490200;mssmdl;Maassluis, Mesdaglaan
53490210;mssver;Maassluis, Vermeerlaan
53490220;mssver;Maassluis, Vermeerlaan
53490250;mssste;Maassluis, Stellingmolen
53490310;mssngl;Maassluis, Nachtegaallaan
53490320;mssngl;Maassluis, Nachtegaallaan
53490330;mssdsl;Maassluis, Dr. Jan Schoutenlaan
53490340;mssdsl;Maassluis, Dr. Jan Schoutenlaan
53490410;mssnsc;Maassluis, Station Maassluis Centrum
53491170;mssstm;Maassluis, Stadsmolen
53491180;mssstm;Maassluis, Stadsmolen
53491301;mldvia;Maasland, Viaduct
53491304;mldvia;Maasland, Viaduct
53491305;mldvia;Maasland, Viaduct
53499006;;NPIVU 9006
53499007;;NPIVU 9007
54000070;dhggro;Den Haag, Grote Markt
54000090;dhgbrg;Den Haag, Brouwersgracht
54000100;dhgbrg;Den Haag, Brouwersgracht
54000130;dhghmc;Den Haag, HMC Westeinde
54000170;dhgdlr;Den Haag, De La Reyweg
54000230;dhglwp;Den Haag, Megastores hoofdingang
